Kickstart_Version;Sequence;WorkbenchVersion;Hash;ADF_Name;FriendlyName;ADFDescription
3.2;;3.2;2236629E7C316FF907B7E0CB1EE0AD18;Backdrops3_2;Backdrops 3.2;Backdrops 3.2
3.2;;3.2;FD11E54B038D5F236248A941125065DB;Classes3_2;Classes 3.2;Classes 3.2
3.2;;3.2;497D0AA96229A0E7FD2C475163D7462A;DiskDoctor3_2;DiskDoctor 3.2;DiskDoctor 3.2
3.2;;3.2;4F0C3383A10E62FDEA5E5758A9238223;Extras3_2;Extras 3.2;Extras 3.2
3.2;;3.2;E03EB0505FB244AAF1C7486F6FE61EDE;Fonts3_2;Fonts 3.2;Fonts 3.2
3.2;;3.2;71EDC1249C013D60380D3DB81FD87AE7;Install3_2;Install 3.2;Install 3.2
3.2;;3.2;7170C0BC81B7DAEEE39552279DADA58C;LocaleEN3_2;LocaleEN 3.2;LocaleEN 3.2
3.2;;3.2;8D88812406CBF373CDB38148096972B9;LocaleUK3_2;LocaleUK 3.2;LocaleUK 3.2
3.2;;3.2;B697A03F0620B5E06947B5E9D7B16142;Locale3_2;Locale 3.2;Locale 3.2
3.2;;3.2;3726FAB6EC5CFC48F7C2368005964D90;Storage3_2;Storage 3.2;Storage 3.2
3.2;;3.2;5EDF0B7A10409EF992EA351565EF8B6C;Workbench3_2;Workbench 3.2;Workbench 3.2
3.2;;3.2;26EF4D09CF71B7FDBD9CC68F333B7373;GlowIcons3_2;GlowIcons 3.2;GlowIcons 3.2
3.2;;3.2;9B03A0C0EE996704449C8A1A318BFAB6;HDSetup3_2;HDSetup 3.2;HDSetup 3.2
3.2;;3.2;3D36568BCE19234B84FE88AA9629F5BF;LocaleDE3_2;LocaleDE 3.2;LocaleDE 3.2
3.2;;3.2;3A80E4F6B0D2D95F727DC45F99068AD8;LocaleDK3_2;LocaleDK 3.2;LocaleDK 3.2
3.2;;3.2;5E2EB9ACEF8E7B062D103DB3FD270A27;LocaleES3_2;LocaleES 3.2;LocaleES 3.2
3.2;;3.2;9F65D321D92D72E17D1F744F47D16323;LocaleFR3_2;LocaleFR 3.2;LocaleFR 3.2
3.2;;3.2;F93F2CD799AD1356ADF4DB01E20218F1;LocaleGR3_2;LocaleGR 3.2;LocaleGR 3.2
3.2;;3.2;AD728C377CE3D7F4BD6ADBA8419A81AE;LocaleIT3_2;LocaleIT 3.2;LocaleIT 3.2
3.2;;3.2;E7B7B5A6583FCA0D302201A1CB0B2829;LocaleNL3_2;LocaleNL 3.2;LocaleNL 3.2
3.2;;3.2;1A9B83A7385C1AAB8094FC1D72123437;LocaleNO3_2;LocaleNO 3.2;LocaleNO 3.2
3.2;;3.2;1AAA138753CEC33A55F48D869780B7C8;LocalePL3_2;LocalePL 3.2;LocalePL 3.2
3.2;;3.2;425BBEB03C74FB275D643644BDD1AF9A;LocalePT3_2;LocalePT 3.2;LocalePT 3.2
3.2;;3.2;C45409FCA931FC1CE76F6713F27CCD00;LocaleRU3_2;LocaleRU 3.2;LocaleRU 3.2
3.2;;3.2;A588DBC1EE7BF43E0E79694E10E48669;LocaleSE3_2;LocaleSE 3.2;LocaleSE 3.2
3.2;;3.2;6F9A623611FD19E084F7BE2106ECFD99;LocaleTR3_2;LocaleTR 3.2;LocaleTR 3.2
3.2;;3.2;66C46918B7005167F1B65E444D0B95F7;MMULibs3_2;MMULibs 3.2;MMULibs 3.2
3.2;;3.2;2D46A2856152256771883F212A4E462D;ModulesA12003_2;ModulesA1200 3.2;ModulesA1200 3.2
3.2;;3.2;9B18DEA310BF073EF9CAE2A120254D92;ModulesA20003_2;ModulesA2000 3.2;ModulesA2000 3.2
3.2;;3.2;99FDC21E434C2B2A988BA96B69D46389;ModulesA30003_2;ModulesA3000 3.2;ModulesA3000 3.2
3.2;;3.2;729DDF87056936D77EE8287F9AD090A7;ModulesA4000D3_2;ModulesA4000D 3.2;ModulesA4000D 3.2
3.2;;3.2;F8EDDBCA10560582B99A2F4555AD0620;ModulesA4000T3_2;ModulesA4000T 3.2;ModulesA4000T 3.2
3.2;;3.2;2AF6B84449996440211E9547660B10B6;ModulesA5003_2;ModulesA500 3.2;ModulesA500 3.2
3.2;;3.2;C6474DF1D52300A4993F13A394701697;ModulesA6003_2;ModulesA600 3.2;ModulesA600 3.2
3.2;;3.2;00B2C4D420C933894151C43DC3A24155;ModulesCD323_2;ModulesCD32 3.2;ModulesCD32 3.2
3.2;;3.2.2.1;9EE0F110645413020D6D18B1E4302122;Update3_2_2_1;Update 3.2.2.1;Update 3.2.2.1
3.2;1;3.2.2;727C5ADCA47611AE1B6ED5155808A054;Classes3_2_2;Classes 3.2.2;Classes 3.2.2
3.2;2;3.2.2;884bd1b279b19e4d351f321e35a0e776;Classes3_2_2;Classes 3.2.2;Classes 3.2.2
3.2;1;3.2.2;10C22B666DD9CB2DFF369CEC28E500BE;DiskDoctor3_2_2;DiskDoctor 3.2.2;DiskDoctor 3.2.2
3.2;2;3.2.2;b5e88900328258627da1d03000b82c5a;DiskDoctor3_2_2;DiskDoctor 3.2.2;DiskDoctor 3.2.2
3.2;1;3.2.2;7056763DC073E5C5320C9FEA2E9BD8F6;LocaleCZ3_2_2;LocaleCZ 3.2.2;LocaleCZ 3.2.2
3.2;2;3.2.2;bfe78fe5710f643632ebcab2d8f39358;LocaleCZ3_2_2;LocaleCZ 3.2.2;LocaleCZ 3.2.2
3.2;1;3.2.2;56FA3189B21EEFFCAF2C9BA385C30671;LocaleDE3_2_2;LocaleDE 3.2.2;LocaleDE 3.2.2
3.2;2;3.2.2;c21563f7fa0844bcb84855ff339a5cbf;LocaleDE3_2_2;LocaleDE 3.2.2;LocaleDE 3.2.2
3.2;1;3.2.2;F3D9420A0D31EC4C91CC97614EAC2A83;LocaleDK3_2_2;LocaleDK 3.2.2;LocaleDK 3.2.2
3.2;2;3.2.2;3a1f3bfe138b3556b05791864bd908db;LocaleDK3_2_2;LocaleDK 3.2.2;LocaleDK 3.2.2
3.2;1;3.2.2;BDE7058F25E80EB602AE0176C08E7250;LocaleEN3_2_2;LocaleEN 3.2.2;LocaleEN 3.2.2
3.2;2;3.2.2;965218b79f20579e1a9b82e5ad5293d2;LocaleEN3_2_2;LocaleEN 3.2.2;LocaleEN 3.2.2
3.2;1;3.2.2;6A0786F5D1C5582A7CC0F5C270132FC1;LocaleES3_2_2;LocaleES 3.2.2;LocaleES 3.2.2
3.2;2;3.2.2;476c5028ece378553648892b491d016e;LocaleES3_2_2;LocaleES 3.2.2;LocaleES 3.2.2
3.2;1;3.2.2;C832567C3AFB3F77394672FB73FED605;LocaleFR3_2_2;LocaleFR 3.2.2;LocaleFR 3.2.2
3.2;2;3.2.2;7091e70daa56329d68850ec9f1f3e851;LocaleFR3_2_2;LocaleFR 3.2.2;LocaleFR 3.2.2
3.2;1;3.2.2;4D4436A7A8F7E877493ACA8C0CAB4157;LocaleGR3_2_2;LocaleGR 3.2.2;LocaleGR 3.2.2
3.2;2;3.2.2;f277608a1fdf558be104a2950c737dee;LocaleGR3_2_2;LocaleGR 3.2.2;LocaleGR 3.2.2
3.2;1;3.2.2;2CC003E0FD14635FCE4C131DF636EB60;LocaleIT3_2_2;LocaleIT 3.2.2;LocaleIT 3.2.2
3.2;2;3.2.2;2c68842d036c54eafa98a335e19ec1fe;LocaleIT3_2_2;LocaleIT 3.2.2;LocaleIT 3.2.2
3.2;1;3.2.2;D4AB095C78242711234FF809258D4755;LocaleNL3_2_2;LocaleNL 3.2.2;LocaleNL 3.2.2
3.2;2;3.2.2;524b92f4ded39d6e16f04d5fb0b2f435;LocaleNL3_2_2;LocaleNL 3.2.2;LocaleNL 3.2.2
3.2;1;3.2.2;47877472B06C94BD604C7520F53E84E2;LocaleNO3_2_2;LocaleNO 3.2.2;LocaleNO 3.2.2
3.2;2;3.2.2;c94355c792bada78e18dc841a5b4eb50;LocaleNO3_2_2;LocaleNO 3.2.2;LocaleNO 3.2.2
3.2;1;3.2.2;34517E9C943758294CE6F1BA69D5C187;LocalePL3_2_2;LocalePL 3.2.2;LocalePL 3.2.2
3.2;2;3.2.2;306c3cb0519abe6707c4c209cdd35189;LocalePL3_2_2;LocalePL 3.2.2;LocalePL 3.2.2
3.2;1;3.2.2;486191F2D8AB0DA97FE9F04FBE4640BD;LocalePT3_2_2;LocalePT 3.2.2;LocalePT 3.2.2
3.2;2;3.2.2;3a9f89d6538f070170749d33ec001ae2;LocalePT3_2_2;LocalePT 3.2.2;LocalePT 3.2.2
3.2;1;3.2.2;E015012A08A84C7C915322D7E3452CB3;LocaleRS3_2_2;LocaleRS 3.2.2;LocaleRS 3.2.2
3.2;2;3.2.2;feef154ac89e967b2f9f2fc9f83482c3;LocaleRS3_2_2;LocaleRS 3.2.2;LocaleRS 3.2.2
3.2;1;3.2.2;E70C377D579A5171BFEF7B3BC937038C;LocaleRU3_2_2;LocaleRU 3.2.2;LocaleRU 3.2.2
3.2;2;3.2.2;2f05bd84ca7141196d0976ce83e51178;LocaleRU3_2_2;LocaleRU 3.2.2;LocaleRU 3.2.2
3.2;1;3.2.2;DF2D452056D9BA0706839CC7FD94190B;LocaleSE3_2_2;LocaleSE 3.2.2;LocaleSE 3.2.2
3.2;2;3.2.2;a0c1d3c398e853e4a47afa74524fc3d2;LocaleSE3_2_2;LocaleSE 3.2.2;LocaleSE 3.2.2
3.2;1;3.2.2;CA19A6C8C1B268FBDCE7DF1653257EC5;LocaleTR3_2_2;LocaleTR 3.2.2;LocaleTR 3.2.2
3.2;2;3.2.2;10490f2d49a4e6eba3ede9ca77928029;LocaleTR3_2_2;LocaleTR 3.2.2;LocaleTR 3.2.2
3.2;1;3.2.2;8709488AD6BE922B3C746904D71B7A3F;LocaleUK3_2_2;LocaleUK 3.2.2;LocaleUK 3.2.2
3.2;2;3.2.2;df95cdaefbdf7db9302289bcc20b5865;LocaleUK3_2_2;LocaleUK 3.2.2;LocaleUK 3.2.2
3.2;1;3.2.2;EA8CA10DD6EE55CD123D8E9EB2A034CA;ModulesA12003_2_2;ModulesA1200 3.2.2;ModulesA1200 3.2.2
3.2;2;3.2.2;ee388739de555821012f8ca75e3e8e6e;ModulesA12003_2_2;ModulesA1200 3.2.2;ModulesA1200 3.2.2
3.2;1;3.2.2;9C5AFD6BF49A7886A09F7494E93921F5;ModulesA20003_2_2;ModulesA2000 3.2.2;ModulesA2000 3.2.2
3.2;2;3.2.2;df84fcbae4d1c5466d5b5445e82f0019;ModulesA20003_2_2;ModulesA2000 3.2.2;ModulesA2000 3.2.2
3.2;1;3.2.2;7D0EE5C4D9187074BA98F209BC7411CC;ModulesA30003_2_2;ModulesA3000 3.2.2;ModulesA3000 3.2.2
3.2;2;3.2.2;74bec54cf0c6c49f6910dce6c8846e02;ModulesA30003_2_2;ModulesA3000 3.2.2;ModulesA3000 3.2.2
3.2;1;3.2.2;9C307FDE4BF80C92D2CE010E5783F1D1;ModulesA4000D3_2_2;ModulesA4000D 3.2.2;ModulesA4000D 3.2.2
3.2;2;3.2.2;504f9b3166948e7a3537f5e81efa30e7;ModulesA4000D3_2_2;ModulesA4000D 3.2.2;ModulesA4000D 3.2.2
3.2;1;3.2.2;C7E6EC3220109185D3019FBA30BEDEF9;ModulesA4000T3_2_2;ModulesA4000T 3.2.2;ModulesA4000T 3.2.2
3.2;2;3.2.2;b430b4ddb9d30c57cc82374dd2ddd889;ModulesA4000T3_2_2;ModulesA4000T 3.2.2;ModulesA4000T 3.2.2
3.2;1;3.2.2;1E3F7F3172D4133F33B12C681542337E;ModulesA5003_2_2;ModulesA500 3.2.2;ModulesA500 3.2.2
3.2;2;3.2.2;1c1d1dbd19023fe47f08ff7bc7c2517b;ModulesA5003_2_2;ModulesA500 3.2.2;ModulesA500 3.2.2
3.2;1;3.2.2;58AF498BF9611BFA625EA722F82A21FC;ModulesA6003_2_2;ModulesA600 3.2.2;ModulesA600 3.2.2
3.2;2;3.2.2;bd2d32a3a96dc6e2ee945f87b00a7646;ModulesA6003_2_2;ModulesA600 3.2.2;ModulesA600 3.2.2
3.2;1;3.2.2;4573B4794B80FA9189DC9FD3AC18EB48;ModulesCD323_2_2;ModulesCD32 3.2.2;ModulesCD32 3.2.2
3.2;2;3.2.2;317a1e4e072e05e363a00cd1b05f4a14;ModulesCD323_2_2;ModulesCD32 3.2.2;ModulesCD32 3.2.2
3.2;1;3.2.2;B83E74D6FC87C40EEBC102355BCF1382;Update3_2_2;Update 3.2.2;Update 3.2.2
3.2;2;3.2.2;17257b34ff0047df27263a5a9104e190;Update3_2_2;Update 3.2.2;Update 3.2.2
3.1;3;3.1;C1C673EBA985E9AB0888C5762CFA3D8F;Extras3_1;Extras 3.1;Extras 3.1 (Cloanto)
3.1;3;3.1;6FAE8B94BDE75497021A044BDBF51ABC;Fonts3_1;Fonts 3.1;Fonts 3.1 (Cloanto)
3.1;3;3.1;C5BE06DAF40D4C3ACE4EAC874D9B48B1;Install3_1;Install 3.1;Install 3.1 (Cloanto)
3.1;3;3.1;B53C9FF336E168643B10C4A9CFFF4276;Locale3_1;Locale 3.1;Locale 3.1 (Cloanto)
3.1;3;3.1;4FA1401AEB814D3ED138F93C54A5CAEF;Storage3_1;Storage 3.1;Storage 3.1 (Cloanto)
3.1;3;3.1;E7B3A83DF665A85E7EC27306A152B171;Workbench3_1;Workbench 3.1;Workbench 3.1 (Cloanto)
3.1;1;3.1;3DE185569A39137BD93FB52C514451FF;Install3_1;Install 3.1;Install 3.1 (Commodore #1)
3.1;1;3.1;7E33DF625EA699E8987F05839BC1203D;Install3_1;Install 3.1;Install 3.1 (Commodore #2)
3.1;1;3.1;A737196914C34B4792512C0407D01DC8;Install3_1;Install 3.1;Install 3.1 (Commodore #3)
3.1;1;3.1;E719F14EB1DDB96A803CEFD8247B3274;Install3_1;Install 3.1;Install 3.1 (Commodore #4)
3.1;1;3.1;F92B33882BB809839E94B7324C9A0CD9;Install3_1;Install 3.1;Install 3.1 (Commodore #5)
3.1;1;3.1;1FB61921FCAEBE926D78257FF658431B;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #1)
3.1;1;3.1;5C134BFB89B1022C810486F54DBA9976;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #2)
3.1;1;3.1;B00F6F4189086943E9C5347A79695BC1;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #3)
3.1;1;3.1;DF591E3DF2CE8FF1CDDCDF1AAF5D01DD;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #4)
3.1;1;3.1;D98EC6EA56B669AD64FD2F9A985560BD;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #5)
3.1;1;3.1;5FE33149F3721926976BF8C165416E57;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #6)
3.1;1;3.1;287AAFEF2DB344F7E7A504AC682D729E;Extras3_1;Extras 3.1;Extras 3.1 (Commodore #1)
3.1;1;3.1;E31FA35EA803E0904FD55177934668CD;Extras3_1;Extras 3.1;Extras 3.1 (Commodore #2)
3.1;1;3.1;A0946B3892F19ADD33C7E9D09164B2D7;Extras3_1;Extras 3.1;Extras 3.1 (Commodore #3)
3.1;1;3.1;4002BDC6209E1EEEF533B4C7CFBC5726;Extras3_1;Extras 3.1;Extras 3.1 (Commodore #4)
3.1;1;3.1;A223CA45C6BC684C3D2616C925C531D9;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #1)
3.1;1;3.1;376A42FF2B4A96D3B4350AA371507ABA;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #2)
3.1;1;3.1;3E7B4B677892E3463CF90A6AD03A99E0;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #3)
3.1;1;3.1;9A842D2972707C7D95D908E06355E418;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #4)
3.1;1;3.1;CA72F1FE62CFFBECD849230CB12C89BB;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #5)
3.1;1;3.1;F96AE483310BFE768202792810774356;Locale3_1;Locale 3.1;Locale 3.1 (Commodore #1)
3.1;1;3.1;D124194E27D38CF26931C42F260D2C61;Locale3_1;Locale 3.1;Locale 3.1 (Commodore #2)
3.1;1;3.1;D0BBC7D1F6A5EDB826753A850C74305F;Locale3_1;Locale 3.1;Locale 3.1 (Commodore #3)
3.1;1;3.1;3A1C0C1320B1D209DB7D29E059A5333E;Locale3_1;Locale 3.1;Locale 3.1 (Commodore #4)
3.1;1;3.1;38D9BA1365A290B458D9727084ECF04A;Fonts3_1;Fonts 3.1;Fonts 3.1 (Commodore #1)
3.1;2;3.1;E862173504862DBA2F43F0FAEF5A9715;Install3_1;Install 3.1;Install 3.1 (Escom #1)
3.1;2;3.1;D541232932EBBB5682572FF770920703;Install3_1;Install 3.1;Install 3.1 (Escom #2)
3.1;2;3.1;87D85B40D0DC408A7C800A2085A62BD3;Install3_1;Install 3.1;Install 3.1 (Escom #3)
3.1;2;3.1;2C48ACF88445ACE751397FB3B43A1F42;Install3_1;Install 3.1;Install 3.1 (Escom #4)
3.1;2;3.1;DB8F3FCB10B06ED2292DC190454ECC62;Workbench3_1;Workbench 3.1;Workbench 3.1 (Escom #1)
3.1;2;3.1;15DE044E692F69920B4143B832F8D112;Workbench3_1;Workbench 3.1;Workbench 3.1 (Escom #2)
3.1;2;3.1;4A91C7DA8482725D6F8881927D391325;Workbench3_1;Workbench 3.1;Workbench 3.1 (Escom #3)
3.1;2;3.1;3EFE8AECB0E5D3E795454412F0817E18;Extras3_1;Extras 3.1;Extras 3.1 (Escom #1)
3.1;2;3.1;2D02E4EF01DA3879AFB2DF6618E157FA;Extras3_1;Extras 3.1;Extras 3.1 (Escom #2)
3.1;2;3.1;86C1BBFC9ABC55762A69570E207509AD;Extras3_1;Extras 3.1;Extras 3.1 (Escom #3)
3.1;2;3.1;3CC356AB7EFCEB4176C0D646777677B0;Storage3_1;Storage 3.1;Storage 3.1 (Escom #1)
3.1;2;3.1;A98DC790DC63B92F114512589EF2B983;Storage3_1;Storage 3.1;Storage 3.1 (Escom #2)
3.1;2;3.1;1F13EDB7C85204E687A7C263806AF9FD;Storage3_1;Storage 3.1;Storage 3.1 (Escom #3)
3.1;2;3.1;14A9DB231BA264BD226C2CF9FA471A25;Locale3_1;Locale 3.1;Locale 3.1 (Escom #1)
3.1;2;3.1;126A9FD044F7B357E694620A35CEC5DD;Locale3_1;Locale 3.1;Locale 3.1 (Escom #2)
3.1;2;3.1;9DAC9E2AC45C0D7FB0C3E7CFC594595E;Locale3_1;Locale 3.1;Locale 3.1 (Escom #3)
3.1;2;3.1;F4874C52CE56FD0BD9133B1540A2C892;Locale3_1;Locale 3.1;Locale 3.1 (Escom #4)
3.1;2;3.1;C3F0DAC18D762BC9AD048E617C8781B3;Fonts3_1;Fonts 3.1;Fonts 3.1 (Escom #1)
3.1;2;3.1;81A7347D0F1DDD2E80B275CF0311C008;Fonts3_1;Fonts 3.1;Fonts 3.1 (Escom #2)
3.1;2;3.1;49FC786CFFD18544B76D72059C9FD9E1;Fonts3_1;Fonts 3.1;Fonts 3.1 (Escom #3)