InstallFlag;KickstartVersion;PackageName;SearchforUpdatedPackage;UpdatePackageSearchTerm;UpdatePackageSearchExclusionTerm;UpdatePackageSearchMinimumDate;Source;InstallType;SourceLocation;FileDownloadName;PerformHashCheck;Hash;FilestoInstall;DrivetoInstall;LocationtoInstall;CreateFolderInfoFile;NewFileName;ModifyUserStartup;ModifyStartupSequence;StartupSequenceInjectionStartPoint;StartupSequenceInjectionEndPoint;ModifyInfoFileTooltype;PiSpecificStorageDriver
FALSE;3.1,3.2,3.2.2.1;#IconLib;TRUE;IconLib;;20231231;Web;Full;;Iconlib.lha;FALSE;10156C1508013D774874135DB9C4E4D3;IconLib_*\ThirdParty\RemLib\RemLib;System;C\;FALSE;;FALSE;Add;VERSION-40.5¬C:Version >NIL: exec.library 45 20¬VERSION-40.2¬C:SetPatch QUIET;;FALSE;FALSE
FALSE;3.1,3.2,3.2.2.1;#IconLib;TRUE;IconLib;;20231231;Web;Full;;Iconlib.lha;FALSE;10156C1508013D774874135DB9C4E4D3;IconLib_*\Libs\icon.library;System;Libs\;FALSE;;FALSE;Add;VERSION-40.5¬C:Version >NIL: exec.library 45 20¬VERSION-40.2¬C:SetPatch QUIET;;FALSE;FALSE
TRUE;3.1;akDatatypes - Wizard Lib;FALSE;;;;Web;Full;http://aminet.net/util/libs/WizardLibrary.lha;WizardLibrary.lha;TRUE;44e5084e9cb644940fda9d172d87d91d;wizard.library;System;Libs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - JFIF;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akJFIF-dt.lha;akJFIF-dt.lha;TRUE;7b5fcb7a557c87faaf529110f912f909;akJFIF-Datatype\Classes\DataTypes\akJFIF.datatype;System;Classes\DataTypes\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - JFIF;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akJFIF-dt.lha;akJFIF-dt.lha;TRUE;7b5fcb7a557c87faaf529110f912f909;akJFIF-Datatype\devs\Datatypes\*;System;Devs\DataTypes\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - JFIF;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akJFIF-dt.lha;akJFIF-dt.lha;TRUE;7b5fcb7a557c87faaf529110f912f909;akJFIF-Datatype\Prefs\Datatypes\*;System;Prefs\akDatatypes\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - PNG;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akPNG-dt.lha;akPNG-dt.lha;TRUE;ff0fe74ed8f9790ee27098aaf43ef756;akPNG-Datatype\Classes\DataTypes\akPNG.datatype;System;Classes\DataTypes\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - PNG;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akPNG-dt.lha;akPNG-dt.lha;TRUE;ff0fe74ed8f9790ee27098aaf43ef756;akPNG-Datatype\devs\Datatypes\*;System;Devs\DataTypes\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - PNG;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akPNG-dt.lha;akPNG-dt.lha;TRUE;ff0fe74ed8f9790ee27098aaf43ef756;akPNG-Datatype\Prefs\Datatypes\*;System;Prefs\akDatatypes\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - GIF;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akGIF-dt.lha;akGIF-dt.lha;TRUE;9b5ae40e92dcb2960c93635f90209f53;akGIF-Datatype\Classes\DataTypes\akGIF.datatype;System;Classes\DataTypes\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - GIF;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akGIF-dt.lha;akGIF-dt.lha;TRUE;9b5ae40e92dcb2960c93635f90209f53;akGIF-Datatype\devs\Datatypes\*;System;Devs\DataTypes\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - GIF;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akGIF-dt.lha;akGIF-dt.lha;TRUE;9b5ae40e92dcb2960c93635f90209f53;akGIF-Datatype\Prefs\Datatypes\*;System;Prefs\akDatatypes\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - TIFF;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akTIFF-dt.lha;akTIFF-dt.lha;TRUE;01c8c82022816b41baf683940cd3a8cf;akTIFF-Datatype\Classes\DataTypes\akTIFF.datatype;System;Classes\DataTypes\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - TIFF;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akTIFF-dt.lha;akTIFF-dt.lha;TRUE;01c8c82022816b41baf683940cd3a8cf;akTIFF-Datatype\devs\Datatypes\*;System;Devs\DataTypes\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1;akDatatypes - TIFF;FALSE;;;;Web;Full;https://aminet.net/util/dtype/akTIFF-dt.lha;akTIFF-dt.lha;TRUE;01c8c82022816b41baf683940cd3a8cf;akTIFF-Datatype\Prefs\Datatypes\*;System;Prefs\akDatatypes\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AmiSpeedTest;FALSE;;;;Web;Full;https://aminet.net/comm/net/AmiSpeedTest.lha;AmiSpeedTest.lha;TRUE;f092dfa356e689faece7efe0b40879da;AmiSpeedTest\*;System;Programs\AmiSpeedTest\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AMISSL;TRUE;AMISSL;-SDK;20231231;Web;Full;;AmiSSL.lha;FALSE;AFE0CF0B8A6369828604122DB707EEEE;AmiSSL\Libs\AmigaOS3\amisslmaster.library;System;Programs\AMISSL\Libs\;FALSE;;TRUE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AMISSL;TRUE;AMISSL;-SDK;20231231;Web;Full;;AmiSSL.lha;FALSE;AFE0CF0B8A6369828604122DB707EEEE;AmiSSL\Libs\AmigaOS3\AmiSSL\68020-40\amissl_v*.library;System;Programs\AMISSL\Libs\AmiSSL\;FALSE;;TRUE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AMISSL;TRUE;AMISSL;-SDK;20231231;Web;Full;;AmiSSL.lha;FALSE;AFE0CF0B8A6369828604122DB707EEEE;AmiSSL\Doc\*;System;Programs\AMISSL\;TRUE;;TRUE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AMISSL;TRUE;AMISSL;-SDK;20231231;Web;Full;;AmiSSL.lha;FALSE;AFE0CF0B8A6369828604122DB707EEEE;AmiSSL\Certs\*;System;Programs\AMISSL\Certs\;FALSE;;TRUE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AMISSL;TRUE;AMISSL;-SDK;20231231;Web;Full;;AmiSSL.lha;FALSE;AFE0CF0B8A6369828604122DB707EEEE;AmiSSL\C\CA.pl;System;Programs\AMISSL\;TRUE;;TRUE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AMISSL;TRUE;AMISSL;-SDK;20231231;Web;Full;;AmiSSL.lha;FALSE;AFE0CF0B8A6369828604122DB707EEEE;AmiSSL\C\tsget.pl;System;Programs\AMISSL\;TRUE;;TRUE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AMISSL;TRUE;AMISSL;-SDK;20231231;Web;Full;;AmiSSL.lha;FALSE;AFE0CF0B8A6369828604122DB707EEEE;AmiSSL\C\openssl.cnf;System;Programs\AMISSL\;TRUE;;TRUE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AMISSL;TRUE;AMISSL;-SDK;20231231;Web;Full;;AmiSSL.lha;FALSE;AFE0CF0B8A6369828604122DB707EEEE;AmiSSL\C\AmigaOS3\OpenSSL;System;Programs\AMISSL\;TRUE;;TRUE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;AreWePal;FALSE;;;;Local;CopyOnly;C\AreWePal;;FALSE;;;System;C\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;bustest;FALSE;;;;Web;Full;http://aminet.net/util/moni/bustest.lha;bustest.lha;TRUE;2047EA3632DA43F02ADD65CF2F81646C;bustest;System;C\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
FALSE;3.1,3.2,3.2.2.1;CE;FALSE;;;;Web;Full;http://aminet.net/util/cli/CE14.lha;CE14.lha;;5A3B871F77E2B2804EDC80D507C01233;ce;System;C\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;CE;FALSE;;;;Local;CopyOnly;C\CE;;FALSE;;;System;C\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;CFD133;FALSE;;;;Web;Full;http://aminet.net/driver/media/CFD133.lha;CFD133.lha;TRUE;41EFA7D5CDEDC94811D27226DA30644F;CFD133\Devs\compactflash.device;System;Devs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;CFD133;FALSE;;;;Web;Full;http://aminet.net/driver/media/CFD133.lha;CFD133.lha;TRUE;41EFA7D5CDEDC94811D27226DA30644F;CFD133\C\*;System;C\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;CFD133;FALSE;;;;Web;Full;http://aminet.net/driver/media/CFD133.lha;CFD133.lha;TRUE;41EFA7D5CDEDC94811D27226DA30644F;CFD133\Devs\CF0;System;Storage\DOSDrivers\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;CFD133;FALSE;;;;Web;Full;http://aminet.net/driver/media/CFD133.lha;CFD133.lha;TRUE;41EFA7D5CDEDC94811D27226DA30644F;CFD133\Devs\CF0.info;System;Storage\DOSDrivers\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
FALSE;3.1,3.2,3.2.2.1;ChangeBootPri;FALSE;;;;Web;Full;https://thomas-rapp.hier-im-netz.de/downloads/changebootpri.lha;changebootpri.lha;TRUE;0759E839F03608D70CB6BD8486DEB382;changebootpri;System;C\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
FALSE;3.1;CopyReplace;FALSE;;;;Web;Full;http://aminet.net/util/sys/CopyReplace.lha;CopyReplace.lha;TRUE;e23160b39f50d879d7a2a1a93658a0c5;Copy;System;C\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DirectoryOpus.CFG;FALSE;;;;Local;CopyOnly;S\DirectoryOpus.CFG;;FALSE;;;System;S\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus416;FALSE;;;;Web;Full;http://aminet.net/util/dopus/DOpus416JRbin.lha;DOpus416JRbin.lha;TRUE;19C6CDEA1F01EBDFE8154C16E7DABF23;DOpus.info;System;Programs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus416;FALSE;;;;Web;Full;http://aminet.net/util/dopus/DOpus416JRbin.lha;DOpus416JRbin.lha;TRUE;19C6CDEA1F01EBDFE8154C16E7DABF23;DOpus\DOpus416JRbin.readme;System;Programs\DOpus\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus416;FALSE;;;;Web;Full;http://aminet.net/util/dopus/DOpus416JRbin.lha;DOpus416JRbin.lha;TRUE;19C6CDEA1F01EBDFE8154C16E7DABF23;DOpus\Docs.info;System;Programs\DOpus\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus416;FALSE;;;;Web;Full;http://aminet.net/util/dopus/DOpus416JRbin.lha;DOpus416JRbin.lha;TRUE;19C6CDEA1F01EBDFE8154C16E7DABF23;DOpus\DirectoryOpus.info;System;Programs\DOpus\;FALSE;;FALSE;FALSE;;;Modify;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus416;FALSE;;;;Web;Full;http://aminet.net/util/dopus/DOpus416JRbin.lha;DOpus416JRbin.lha;TRUE;19C6CDEA1F01EBDFE8154C16E7DABF23;DOpus\DOpus416JRbin.readme.info;System;Programs\DOpus\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus416;FALSE;;;;Web;Full;http://aminet.net/util/dopus/DOpus416JRbin.lha;DOpus416JRbin.lha;TRUE;19C6CDEA1F01EBDFE8154C16E7DABF23;DOpus\c\*;System;Programs\DOpus\c\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus416;FALSE;;;;Web;Full;http://aminet.net/util/dopus/DOpus416JRbin.lha;DOpus416JRbin.lha;TRUE;19C6CDEA1F01EBDFE8154C16E7DABF23;DOpus\Docs\*;System;Programs\DOpus\Docs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus416;FALSE;;;;Web;Full;http://aminet.net/util/dopus/DOpus416JRbin.lha;DOpus416JRbin.lha;TRUE;19C6CDEA1F01EBDFE8154C16E7DABF23;DOpus\s\*;System;Programs\DOpus\s\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus417;FALSE;;;;Web;Full;http://dopus.free.fr/betas/DOpus417pre21.lzx;DOpus417pre21.lzx;TRUE;8B880EDD51404C7EFBE54245713CF578;ConfigOpus;System;Programs\DOpus\modules\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus417;FALSE;;;;Web;Full;http://dopus.free.fr/betas/DOpus417pre21.lzx;DOpus417pre21.lzx;TRUE;8B880EDD51404C7EFBE54245713CF578;DirectoryOpus;System;Programs\DOpus\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus417;FALSE;;;;Web;Full;http://dopus.free.fr/betas/DOpus417pre21.lzx;DOpus417pre21.lzx;TRUE;8B880EDD51404C7EFBE54245713CF578;dopus.library;System;Programs\DOpus\Libs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus417;FALSE;;;;Web;Full;http://dopus.free.fr/betas/DOpus417pre21.lzx;DOpus417pre21.lzx;TRUE;8B880EDD51404C7EFBE54245713CF578;DOpus_Disk;System;Programs\DOpus\modules\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus417;FALSE;;;;Web;Full;http://dopus.free.fr/betas/DOpus417pre21.lzx;DOpus417pre21.lzx;TRUE;8B880EDD51404C7EFBE54245713CF578;DOpus_Icon;System;Programs\DOpus\modules\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus417;FALSE;;;;Web;Full;http://dopus.free.fr/betas/DOpus417pre21.lzx;DOpus417pre21.lzx;TRUE;8B880EDD51404C7EFBE54245713CF578;DOpus_Print;System;Programs\DOpus\modules\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;DOpus417;FALSE;;;;Web;Full;http://dopus.free.fr/betas/DOpus417pre21.lzx;DOpus417pre21.lzx;TRUE;8B880EDD51404C7EFBE54245713CF578;History\*;System;Programs\DOpus\History\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
FALSE;3.1,3.2,3.2.2.1;DopusEdit;FALSE;;;;Local;CopyOnly;Programs\Dopus\C\DopusEdit;;FALSE;;;System;Programs\DOpus\c\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Emu68Info;FALSE;;;;Local;CopyOnly;C\Emu68Info;;FALSE;;;System;C\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;EmuContol - C Folder;FALSE;;;;Emu68;CopyOnly;Emu68Tools\EmuControl\Emucontrol;;FALSE;;;System;C\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Emucontrol - Pistorm Folder;FALSE;;;;Emu68;CopyOnly;Emu68Tools\EmuControl\Emucontrol;;FALSE;;;System;PiStorm\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Emucontrol - Pistorm Folder;FALSE;;;;Emu68;CopyOnly;Emu68Tools\EmuControl\Emucontrol.info;;FALSE;;;System;PiStorm\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;EMUControl - VC4Tweak;FALSE;;;;Emu68;CopyOnly;Emu68Tools\EmuControl\Emucontrol.info;;FALSE;;;System;PiStorm\;TRUE;VC4Tweak.info;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;EMUControl - VC4Tweak;FALSE;;;;Emu68;CopyOnly;Emu68Tools\VC4Tweak\VC4Tweak;;FALSE;;;System;PiStorm\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Environment Variable - FIRSTTIMEBOOT;FALSE;;;;Local;CopyOnly;Prefs\Env-Archive\FIRSTTIMEBOOT;;FALSE;;;System;Prefs\Env-Archive\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Environment Variable - REBOOT;FALSE;;;;Local;CopyOnly;Prefs\Env-Archive\REBOOT;;FALSE;;;System;Prefs\Env-Archive\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;FAT95;FALSE;;;;Web;Full;https://aminet.net/disk/misc/fat95.lha;Fat95.lha;TRUE;B9BBC735FC367F830250D26FAA879B39;fat95\l\fat95;System;L\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;FileSysbox;FALSE;;;;Web;Full;http://aminet.net/util/libs/filesysbox.m68k-amigaos.lha;filesysbox.m68k-amigaos.lha;TRUE;C8AEB8CEFE87B98499963FE5330E2CA6;filesysbox\Libs\filesysbox.library.020;System;Libs\;FALSE;filesysbox.library;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoPlayer\HiP.*;System;Programs\HippoPlayer\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoPlayer\HippoPlayer.PS3M;System;S\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoSupport\*;System;Programs\HippoPlayer\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoSupport\Libs\octa*;System;Libs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayer;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayer.lha;hippoplayer.lha;TRUE;aa28f29175d968c4f4ccfd5a6c4f7ce4;HippoSupport\Libs\m*;System;Libs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayerUpdate;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayerupdate.lha;hippoplayerupdate.lha;FALSE;2a024bf40065e91edd0f8d876d5268ed;HiP;System;Programs\HippoPlayer\;TRUE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayerUpdate;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayerupdate.lha;hippoplayerupdate.lha;FALSE;2a024bf40065e91edd0f8d876d5268ed;HippoPlayer.group;System;S\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;HippoPlayerUpdate;FALSE;;;;Web;Full;https://aminet.net/mus/play/hippoplayerupdate.lha;hippoplayerupdate.lha;FALSE;2a024bf40065e91edd0f8d876d5268ed;playsid.library;System;Libs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;IBrowse*.info;System;Programs\;FALSE;IBrowse.info;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;IBrowse*-OS3\Catalogs\*;System;Programs\IBrowse\Catalogs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\Codecs\*;System;Programs\IBrowse\Codecs\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\Codecs040fpu\*;System;Programs\IBrowse\Codecs040fpu\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
TRUE;3.1,3.2,3.2.2.1;Ibrowse;FALSE;;;;Web;Full;https://www.ibrowse-dev.net/resources/IBrowse3.0a-OS3.lha;IBrowse-OS3.lha;TRUE;E448F1B7E46034A5D2DBCB464C9A7268;Ibrowse*-OS3\ibcc\*;System;Programs\IBrowse\ibcc\;FALSE;;FALSE;FALSE;;;FALSE;FALSE
